sample_idx,first_top1_layer
0,-1
1,28
2,28
3,28
4,-1
5,28
6,28
7,28
8,28
9,28
10,28
11,-1
12,-1
13,28
14,28
15,28
16,-1
17,28
18,28
19,-1
20,28
21,28
22,28
23,-1
24,-1
25,28
26,28
27,-1
28,28
29,28
30,28
31,28
32,28
33,-1
34,28
35,28
36,28
37,28
38,-1
39,28
40,-1
41,28
42,28
43,28
44,28
45,28
46,28
47,28
48,28
49,28
50,-1
51,28
52,-1
53,-1
54,28
55,-1
56,28
57,28
58,28
59,28
60,28
61,28
62,-1
63,28
64,28
65,28
66,28
67,-1
68,28
69,28
70,-1
71,-1
72,28
73,28
74,28
75,28
76,28
77,-1
78,28
79,-1
80,28
81,28
82,28
83,28
84,-1
85,-1
86,28
87,28
88,-1
89,28
90,28
91,28
92,-1
93,28
94,28
95,28
96,28
97,28
98,-1
99,28
100,28
101,28
102,-1
103,28
104,28
105,28
106,28
107,28
108,28
109,28
110,28
111,28
112,28
113,28
114,-1
115,28
116,28
117,28
118,28
119,-1
120,28
121,28
122,-1
123,28
124,28
125,28
126,28
127,28
128,28
129,28
130,-1
131,28
132,28
133,28
134,-1
135,28
136,-1
137,28
138,-1
139,28
140,28
141,28
142,28
143,-1
144,28
145,28
146,-1
147,28
148,28
149,28
150,28
151,28
152,-1
153,-1
154,28
155,-1
156,28
157,28
158,28
159,-1
160,28
161,28
162,28
163,-1
164,28
165,28
166,28
167,28
168,28
169,28
170,-1
171,28
172,28
173,-1
174,28
175,-1
176,28
177,28
178,-1
179,28
180,-1
181,28
182,-1
183,-1
184,28
185,28
186,28
187,-1
188,28
189,28
190,28
191,28
192,28
193,-1
194,28
195,28
196,28
197,28
198,28
199,28
200,-1
201,28
202,28
203,28
204,28
205,-1
206,28
207,-1
208,28
209,28
210,-1
211,28
212,-1
213,28
214,28
215,-1
216,28
217,28
218,28
219,28
220,-1
221,28
222,28
223,-1
224,-1
225,-1
226,28
227,28
228,28
229,28
230,28
231,28
232,28
233,28
234,28
235,28
236,28
237,28
238,-1
239,28
240,28
241,-1
242,-1
243,28
244,28
245,28
246,28
247,28
248,-1
249,28
250,28
251,28
252,28
253,28
254,28
255,28
256,28
257,28
258,28
259,28
260,28
261,28
262,28
263,28
264,-1
265,28
266,28
267,28
268,28
269,28
270,28
271,28
272,28
273,28
274,28
275,28
276,28
277,28
278,28
279,-1
280,-1
281,28
282,28
283,28
284,28
285,28
286,28
287,28
288,28
289,28
290,28
291,28
292,28
293,28
294,28
295,28
296,-1
297,28
298,28
299,28
300,28
301,28
302,-1
303,28
304,28
305,-1
306,-1
307,28
308,28
309,28
310,28
311,28
312,28
313,28
314,28
315,28
316,28
317,28
318,28
319,-1
320,28
321,28
322,28
323,28
324,28
325,28
326,28
327,28
328,28
329,28
330,28
331,28
332,28
333,28
334,28
335,28
336,28
337,-1
338,28
339,28
340,-1
341,28
342,-1
343,28
344,28
345,-1
346,28
347,-1
348,28
349,28
350,28
351,28
352,28
353,28
354,28
355,28
356,-1
357,28
358,-1
359,28
360,28
361,28
362,-1
363,28
364,28
365,28
366,28
367,-1
368,-1
369,-1
370,28
371,28
372,28
373,28
374,28
375,-1
376,28
377,28
378,28
379,28
380,28
381,28
382,-1
383,-1
384,-1
385,-1
386,28
387,28
388,28
389,28
390,28
391,28
392,-1
393,28
394,28
395,28
396,28
397,28
398,28
399,28
400,28
401,28
402,28
403,28
404,28
405,28
406,28
407,28
408,28
409,28
410,28
411,28
412,28
413,28
414,28
415,28
416,28
417,28
418,28
419,28
420,-1
421,28
422,-1
423,-1
424,28
425,-1
426,28
427,-1
428,28
429,28
430,28
431,28
432,28
433,28
434,-1
435,-1
436,28
437,28
438,28
439,28
440,28
441,-1
442,-1
443,28
444,28
445,28
446,28
447,-1
448,28
449,28
450,-1
451,28
452,28
453,28
454,28
455,-1
456,-1
457,28
458,28
459,28
460,28
461,28
462,28
463,28
464,-1
465,28
466,28
467,-1
468,-1
469,28
470,-1
471,28
472,28
473,-1
474,28
475,28
476,-1
477,28
478,-1
479,28
480,28
481,-1
482,28
483,28
484,28
485,28
486,28
487,28
488,-1
489,28
490,-1
491,28
492,28
493,28
494,-1
495,28
496,28
497,28
498,28
499,28
500,28
501,28
502,28
503,28
504,28
505,28
506,28
507,28
508,28
509,-1
510,28
511,-1
512,28
513,28
514,28
515,28
516,28
517,28
518,28
519,28
520,28
521,-1
522,28
523,28
524,28
525,28
526,28
