layer,pos_0_mean,pos_0_ci_lower,pos_0_ci_upper,pos_0_std_dev,pos_1_mean,pos_1_ci_lower,pos_1_ci_upper,pos_1_std_dev,pos_2_mean,pos_2_ci_lower,pos_2_ci_upper,pos_2_std_dev
0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0
1,0.7064,0.7012709380194816,0.7115290619805185,0.005851495535331133,0.7329000000000001,0.7311601204639402,0.73463987953606,0.0019849433241279383,0.7171,0.7153823420596638,0.7188176579403361,0.0019595917942265635
2,0.768,0.7665073084712507,0.7694926915287493,0.0017029386365926156,0.8128,0.8097559994743758,0.8158440005256241,0.0034727510708370394,0.8678000000000001,0.8670358513233671,0.8685641486766331,0.0008717797887081202
3,0.8129,0.8098084145167892,0.8159915854832107,0.0035270384177096387,0.8014999999999999,0.7978018793962337,0.805198120603766,0.0042190046219458014,0.8776999999999999,0.8752114945850973,0.8801885054149026,0.0028390139133156597
4,0.8413999999999999,0.8368504350977263,0.8459495649022736,0.005190375708944384,0.8401,0.8387591537000834,0.8414408462999166,0.0015297058540778455,0.9038999999999999,0.9007960134020907,0.9070039865979092,0.0035411862419251587
5,0.8598000000000001,0.8532020449228569,0.8663979550771433,0.007527283706623512,0.86,0.855002960876679,0.8649970391233209,0.005700877125495672,0.9269000000000001,0.9219773165041819,0.9318226834958182,0.005616048432839612
6,0.8256,0.8205998867212831,0.8306001132787169,0.005704384278780685,0.8373999999999999,0.8329789072843922,0.8418210927156077,0.005043808085167408,0.9192,0.9159485259957982,0.9224514740042018,0.0037094473981982845
7,0.8275,0.8215744431485302,0.8334255568514698,0.0067601775124622445,0.8234999999999999,0.817509962938345,0.8294900370616548,0.006833739825307948,0.921,0.918963108250299,0.923036891749701,0.0023237900077244427
8,0.8173,0.8128511885632228,0.8217488114367772,0.005075431016179805,0.8252,0.8182781190995511,0.832121880900449,0.007896834808959877,0.9099,0.9083222304350762,0.9114777695649239,0.0017999999999999917
9,0.8172,0.8128295955335919,0.8215704044664082,0.004985980344927169,0.8406999999999998,0.8379336906897454,0.8434663093102541,0.0031559467676118918,0.9153,0.9138704087297412,0.9167295912702588,0.0016309506430300267
10,0.8540000000000001,0.8504502890258502,0.85754971097415,0.004049691346263324,0.8619999999999999,0.8580799999999998,0.8659199999999999,0.004472135954999576,0.9357000000000001,0.9307913835757926,0.9406086164242076,0.005599999999999989
11,0.8601000000000001,0.8572950763290244,0.8629049236709758,0.0032000000000000028,0.8513999999999999,0.8467172814733319,0.856082718526668,0.005342284155677229,0.9237,0.9226052035805685,0.9247947964194314,0.0012489995996796915
