
--- Repetition 1/5 with Seed 42 ---
--- Repetition 4/5 with Seed 45 ---
L0: AddAcc=0.1316, MultAcc=0.1260, SubAcc=0.0760
L1: AddAcc=0.1284, MultAcc=0.1620, SubAcc=0.1220
L2: AddAcc=0.1412, MultAcc=0.0820, SubAcc=0.0580
L3: AddAcc=0.1604, MultAcc=0.1340, SubAcc=0.0800
L4: AddAcc=0.2032, MultAcc=0.0920, SubAcc=0.0920
L5: AddAcc=0.2016, MultAcc=0.1500, SubAcc=0.1640
L6: AddAcc=0.2060, MultAcc=0.1480, SubAcc=0.0960
L7: AddAcc=0.2096, MultAcc=0.1960, SubAcc=0.2360
L8: AddAcc=0.1972, MultAcc=0.2000, SubAcc=0.0380
L9: AddAcc=0.1996, MultAcc=0.1960, SubAcc=0.0660
L10: AddAcc=0.2416, MultAcc=0.1880, SubAcc=0.0800
L11: AddAcc=0.2444, MultAcc=0.2120, SubAcc=0.0980
L12: AddAcc=0.2564, MultAcc=0.1840, SubAcc=0.0620
L13: AddAcc=0.2744, MultAcc=0.2340, SubAcc=0.1300
L14: AddAcc=0.2556, MultAcc=0.2100, SubAcc=0.0560
L15: AddAcc=0.2088, MultAcc=0.2400, SubAcc=0.0900
L16: AddAcc=0.2188, MultAcc=0.2100, SubAcc=0.1040
L17: AddAcc=0.2884, MultAcc=0.2300, SubAcc=0.0420
L18: AddAcc=0.2672, MultAcc=0.2180, SubAcc=0.0420
L19: AddAcc=0.3116, MultAcc=0.2300, SubAcc=0.0900
L20: AddAcc=0.3540, MultAcc=0.2220, SubAcc=0.0760
L21: AddAcc=0.2848, MultAcc=0.1340, SubAcc=0.0860
L22: AddAcc=0.4340, MultAcc=0.1060, SubAcc=0.0560
L23: AddAcc=0.5640, MultAcc=0.1980, SubAcc=0.1020
L24: AddAcc=0.7664, MultAcc=0.2120, SubAcc=0.4860
L25: AddAcc=0.8492, MultAcc=0.4320, SubAcc=0.6280
L26: AddAcc=0.9008, MultAcc=0.5440, SubAcc=0.6920
L27: AddAcc=0.9040, MultAcc=0.5460, SubAcc=0.6840
L28: AddAcc=0.9000, MultAcc=0.4620, SubAcc=0.6860

--- Repetition 5/5 with Seed 46 ---
L0: AddAcc=0.1328, MultAcc=0.0060, SubAcc=0.0520
L1: AddAcc=0.1380, MultAcc=0.1360, SubAcc=0.1300
L2: AddAcc=0.1564, MultAcc=0.1660, SubAcc=0.0680
L3: AddAcc=0.1552, MultAcc=0.2120, SubAcc=0.1460
L4: AddAcc=0.1724, MultAcc=0.0860, SubAcc=0.0480
L5: AddAcc=0.2036, MultAcc=0.1680, SubAcc=0.1380
L6: AddAcc=0.2036, MultAcc=0.1960, SubAcc=0.1680
L7: AddAcc=0.1960, MultAcc=0.2160, SubAcc=0.0920
L8: AddAcc=0.2216, MultAcc=0.1800, SubAcc=0.1020
L9: AddAcc=0.2520, MultAcc=0.1880, SubAcc=0.0820
L10: AddAcc=0.2436, MultAcc=0.1960, SubAcc=0.0840
L11: AddAcc=0.2928, MultAcc=0.1840, SubAcc=0.0960
L12: AddAcc=0.2192, MultAcc=0.1640, SubAcc=0.0920
L13: AddAcc=0.2828, MultAcc=0.1840, SubAcc=0.0500
L14: AddAcc=0.2416, MultAcc=0.1900, SubAcc=0.0600
L15: AddAcc=0.2452, MultAcc=0.1760, SubAcc=0.0960
L16: AddAcc=0.2684, MultAcc=0.1720, SubAcc=0.0720
L17: AddAcc=0.2212, MultAcc=0.1960, SubAcc=0.0420
L18: AddAcc=0.2728, MultAcc=0.2120, SubAcc=0.0540
L19: AddAcc=0.3120, MultAcc=0.2040, SubAcc=0.0460
L20: AddAcc=0.2956, MultAcc=0.1540, SubAcc=0.0700
L21: AddAcc=0.3000, MultAcc=0.1600, SubAcc=0.0720
L22: AddAcc=0.4012, MultAcc=0.1360, SubAcc=0.0460
L23: AddAcc=0.5132, MultAcc=0.1760, SubAcc=0.1840
L24: AddAcc=0.7716, MultAcc=0.2460, SubAcc=0.4800
L25: AddAcc=0.8580, MultAcc=0.4980, SubAcc=0.6440
L26: AddAcc=0.8796, MultAcc=0.5120, SubAcc=0.6740
L27: AddAcc=0.8640, MultAcc=0.5240, SubAcc=0.6620
L28: AddAcc=0.8992, MultAcc=0.5360, SubAcc=0.6880


--- Aggregated Statistics Across Runs ---
Number of Repetitions: 5, Confidence Level: 95.0%

--- Layer 0 ---
ADDITION Test Accuracy: Mean=0.1287, 95.0% CI=(0.1235, 0.1339), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.0500, 95.0% CI=(-0.0106, 0.1106), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0560, 95.0% CI=(0.0281, 0.0839), N_valid_runs=5

--- Layer 1 ---
ADDITION Test Accuracy: Mean=0.1312, 95.0% CI=(0.1221, 0.1403), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1112, 95.0% CI=(0.0525, 0.1699), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.1420, 95.0% CI=(0.0988, 0.1852), N_valid_runs=5

--- Layer 2 ---
ADDITION Test Accuracy: Mean=0.1416, 95.0% CI=(0.1299, 0.1533), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1080, 95.0% CI=(0.0644, 0.1516), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0756, 95.0% CI=(0.0495, 0.1017), N_valid_runs=5

--- Layer 3 ---
ADDITION Test Accuracy: Mean=0.1538, 95.0% CI=(0.1428, 0.1649), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1576, 95.0% CI=(0.1041, 0.2111), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0916, 95.0% CI=(0.0260, 0.1572), N_valid_runs=5

--- Layer 4 ---
ADDITION Test Accuracy: Mean=0.1918, 95.0% CI=(0.1716, 0.2119), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1008, 95.0% CI=(0.0712, 0.1304), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0820, 95.0% CI=(0.0434, 0.1206), N_valid_runs=5

--- Layer 5 ---
ADDITION Test Accuracy: Mean=0.2079, 95.0% CI=(0.1954, 0.2205), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1704, 95.0% CI=(0.1495, 0.1913), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.1248, 95.0% CI=(0.0541, 0.1955), N_valid_runs=5

--- Layer 6 ---
ADDITION Test Accuracy: Mean=0.1822, 95.0% CI=(0.1451, 0.2194), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1900, 95.0% CI=(0.1600, 0.2200), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.1220, 95.0% CI=(0.0797, 0.1643), N_valid_runs=5

--- Layer 7 ---
ADDITION Test Accuracy: Mean=0.1930, 95.0% CI=(0.1739, 0.2122), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.2008, 95.0% CI=(0.1875, 0.2141), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0992, 95.0% CI=(0.0007, 0.1977), N_valid_runs=5

--- Layer 8 ---
ADDITION Test Accuracy: Mean=0.2230, 95.0% CI=(0.1971, 0.2488), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.2008, 95.0% CI=(0.1769, 0.2247), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0988, 95.0% CI=(0.0372, 0.1604), N_valid_runs=5

--- Layer 9 ---
ADDITION Test Accuracy: Mean=0.2116, 95.0% CI=(0.1772, 0.2460), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.2092, 95.0% CI=(0.1848, 0.2336), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.1008, 95.0% CI=(0.0531, 0.1485), N_valid_runs=5

--- Layer 10 ---
ADDITION Test Accuracy: Mean=0.2395, 95.0% CI=(0.2264, 0.2527), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.2044, 95.0% CI=(0.1861, 0.2227), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.1016, 95.0% CI=(0.0662, 0.1370), N_valid_runs=5

--- Layer 11 ---
ADDITION Test Accuracy: Mean=0.2544, 95.0% CI=(0.2224, 0.2864), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1996, 95.0% CI=(0.1752, 0.2240), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.1192, 95.0% CI=(0.0814, 0.1570), N_valid_runs=5

--- Layer 12 ---
